date,ticker,open,high,low,close,volume,SMA_10,SMA_20,EMA_10,EMA_20,MACD,Signal_Line,RSI,Middle_Band,Upper_Band,Lower_Band,Returns,Volatility,target,predicted_signal,strategy_returns,cumulative_strategy_returns,cumulative_buy_and_hold_returns
2019-04-28,MSFT,114.95661494010822,123.15974874862361,114.90973693131684,121.77227020263672,132620000,110.53252868652343,103.85250892639161,111.40801529444649,107.00457859447872,4.855748941282769,3.0775645225364356,85.94300080445875,103.85250892639161,120.17365732870542,87.5313605240778,0.05284941685387845,0.0295422529566723,0,1,0.05284941685387845,0.05284941685387845,0.05284941685387845
2019-05-05,MSFT,121.7816099010927,122.53161553910437,117.67535584516847,120.84410095214844,119573700,112.21346817016601,104.9456787109375,113.12366723221047,108.32262834282821,5.342735823410251,3.530598782711199,81.59900497514364,104.9456787109375,122.75391914306488,87.13743827881012,-0.007622172510570291,0.029847161171342878,0,1,-0.007622172510570291,0.04482441697096484,0.04482441697096484
2019-05-12,MSFT,118.49100630192896,120.52538614173719,115.84720524480062,119.18474578857422,146827400,113.58222122192383,106.31995162963867,114.22568151518568,109.35711571861354,5.531022161619234,3.9306834584928056,73.89439810754742,106.31995162963867,124.06608779847156,88.57381546080578,-0.013731370836473689,0.023252286135086425,1,1,-0.013731370836473689,0.030477545442534115,0.030477545442534115
2019-05-19,MSFT,116.3534878024182,122.75936224348773,115.35035996559554,120.51043701171875,139816600,115.27292098999024,107.6596893310547,115.36836433273714,110.41933679414737,5.721261502385701,4.288799067271385,75.98468033946634,107.6596893310547,125.44495675566695,89.87442190644244,0.011122994091007365,0.023169035222858157,0,1,0.011122994091007365,0.041939541091407184,0.041939541091407184
2019-05-26,MSFT,119.0519486557438,120.67041008558014,117.37696834267142,118.78844451904297,92123900,116.28516845703125,108.84144706726075,115.99019709388365,111.21639467270886,5.667742935167226,4.564587840850553,67.84301682718363,108.84144706726075,126.26501180143771,91.41788233308378,-0.014289156486158361,0.023939640283695916,0,1,-0.014289156486158361,0.027051103939635945,0.027051103939635945
2019-06-02,MSFT,119.48478594600999,120.44457549822678,116.04081146116769,116.37956237792969,89367900,116.94965438842773,109.86215324401856,116.060990781892,111.70812493034894,5.369061232383984,4.725482519157239,57.83967405617882,109.86215324401856,126.4830193996309,93.24128708840621,-0.020278758181121792,0.024967604620218624,1,1,-0.020278758181121792,0.006223782963189928,0.006223782963189928
2019-06-09,MSFT,116.53953236067598,124.44370810074517,111.98522540230312,123.64387512207031,147636900,118.25713272094727,111.01689643859864,117.43969702556078,112.84486304384622,5.653354804010789,4.9110569761279494,72.1356933949376,111.01689643859864,128.11558994192958,93.91820293526769,0.062419144699569884,0.026313621992748122,1,1,0.062419144699569884,0.06903141087211795,0.06903141087211795
2019-06-16,MSFT,124.58481942625458,126.31625637223944,122.99459592822366,124.63188934326172,102505800,119.48059997558593,112.24624519348144,118.74736835605185,113.96743697712388,5.890482186274838,5.106942018157327,73.54355271688951,112.24624519348144,129.5575918774042,94.93489850955869,0.007990806016197505,0.026063962520649832,1,1,0.007990806016197505,0.07757383350161895,0.07757383350161895
2019-06-23,MSFT,124.80127028610846,129.60023578679758,124.70716723027172,128.88510131835938,133967200,121.03001480102539,113.89316101074219,120.59059253101685,115.3881669143844,6.348425310720003,5.355238676669863,78.85116517579912,113.89316101074219,130.94062067356674,96.84570134791764,0.03412619352486468,0.02340150210257701,0,1,0.03412619352486468,0.11434732668102554,0.11434732668102554
2019-06-30,MSFT,128.91330476048086,130.23066125566555,124.89539103349232,126.05277252197266,124214400,122.06931991577149,115.2635669708252,121.58371616573608,116.40384363891661,6.408925173058208,5.5659759759475325,68.3197129888164,115.2635669708252,131.53885886698404,98.98827507466636,-0.021975610581944416,0.024587907125090895,1,1,-0.021975610581944416,0.08985886377685248,0.08985886377685248
2019-07-07,MSFT,128.56514708962735,129.60966277196758,127.00312844539572,128.9698028564453,69621700,122.78907318115235,116.66080093383789,122.92664101859229,117.60060165963363,6.615986742334584,5.775978129224943,72.6591840870603,116.66080093383789,132.58355345587876,100.73804841179701,0.023141342122912745,0.02456447998115352,1,1,0.023141342122912745,0.1150796606092015,0.1150796606092015
2019-07-14,MSFT,128.34874482648078,131.0023026217617,127.37954353314429,130.70120239257812,102201900,123.77478332519532,117.99412574768067,124.34019763204425,118.84827791991405,6.840935949153348,5.988969693210624,75.00406769524977,117.99412574768067,133.93114804766628,102.05710344769504,0.013424844403771008,0.024230854884830084,0,1,0.013424844403771008,0.1300494315506897,0.1300494315506897
2019-07-21,MSFT,131.2093360803028,132.36671570617833,126.72085072010519,128.55577087402344,138962800,124.71188583374024,119.14705352783203,125.10666549422228,119.77280105840066,6.7680732869283275,6.1447904119541645,66.81139463931953,119.14705352783203,134.6065895458663,103.68751750979776,-0.01641478027195653,0.025023109291870623,1,1,-0.01641478027195653,0.1114999184353358,0.1114999184353358
2019-07-28,MSFT,129.29914396812555,133.31711993008503,129.22386438151926,132.9971923828125,101242300,125.9605613708496,120.61674118041992,126.54130674669322,121.03226689882084,6.98815954614912,6.3134642387931565,73.67891349945495,120.61674118041992,135.429678087212,105.80380427362783,0.03454859691317447,0.024662899898875698,0,1,0.03454859691317447,0.14990068108638455,0.14990068108638455
2019-08-04,MSFT,133.1477334915005,133.15713805639498,127.10663448669493,128.81924438476562,143400300,126.96364135742188,121.62440490722656,126.95547722634274,121.77388380224414,6.747671053715521,6.40030560177763,60.16595055948298,121.62440490722656,135.73980988296375,107.50899993148937,-0.031413805984875864,0.025023051446910204,1,1,-0.031413805984875864,0.11377792418886035,0.11377792418886035
2019-08-11,MSFT,125.43171649321536,131.15282891753128,123.06046027244633,129.58140563964844,159824000,128.28382568359376,122.61674003601074,127.43291875603468,122.51745731056836,6.543156795888223,6.4288758405997495,61.646569602340904,122.61674003601074,135.98336299506957,109.25011707695192,0.00591651704310836,0.025030157063260342,0,1,0.00591651704310836,0.12036761025956166,0.12036761025956166
2019-08-18,MSFT,128.9792164120801,130.6070913164481,124.85811755237961,128.521240234375,130689700,128.7715621948242,123.51434745788575,127.6307953884602,123.0892461604547,6.223787338812116,6.387858140242224,58.175949930810404,123.51434745788575,135.84547800014138,111.1832169156301,-0.008181462456285149,0.025311842142757734,0,1,-0.008181462456285149,0.11120136471898512,0.11120136471898512
2019-08-25,MSFT,130.14506982370392,131.69343313334414,125.37733735066186,125.93435668945312,117702400,128.90180892944335,124.19120445251465,127.32235198864072,123.36020906797836,5.696281671265126,6.249542846446804,50.2162998675853,124.19120445251465,135.38681308279595,112.99559582223335,-0.020128062413686365,0.025968925182695494,1,1,-0.020128062413686365,0.08883503429574802,0.08883503429574802
2019-09-01,MSFT,127.44496095479434,131.4008004949088,126.0854215608195,130.1545867919922,104916800,129.02875747680665,125.02938613891601,127.83730377106825,124.00729266074158,5.5547353966514805,6.1105813564877405,60.412077634908215,125.02938613891601,135.29161507443828,114.76715720339374,0.0335113483999121,0.02668610229100016,1,1,0.0335113483999121,0.1253233644800631,0.1253233644800631
2019-09-08,MSFT,128.97438110515063,132.53370966497332,128.1152407889249,131.32525634765625,83791500,129.556005859375,125.81266288757324,128.4714769668115,124.70424158330489,5.47392223554958,5.983249532300109,62.84746338028483,125.81266288757324,135.43517259994562,116.19015317520086,0.00899445485955086,0.026522127490419187,0,1,0.00899445485955086,0.13544503468427682,0.13544503468427682
2019-09-15,MSFT,131.78785050247885,131.93891103156488,126.99179032748243,129.64474487304688,129776500,129.62350006103514,126.20628662109375,128.68479840430885,125.17476570613746,5.214168305252485,5.829433286890584,57.03571255314919,126.20628662109375,135.77681791532044,116.63575532686707,-0.012796559636332083,0.024494884458144326,1,1,-0.012796559636332083,0.12091524458416236,0.12091524458416236
2019-09-22,MSFT,128.23798399480359,134.412462034287,128.077487623056,131.64622497558594,133467100,129.71800231933594,126.74639282226562,129.2232395990865,125.79109516037065,5.110898900176636,5.685726409547795,61.87999921730605,126.74639282226562,136.26183377990432,117.2309518646269,0.015438189218537124,0.024490586881223634,0,1,0.015438189218537124,0.1382201462279955,0.1382201462279955
2019-09-29,MSFT,131.44792693200088,132.8263920553697,128.42683221412662,130.03179931640625,108228800,129.86560516357423,127.28874549865722,129.37025045678098,126.19497174665975,4.842959867545332,5.517173101147302,56.00309109368364,127.28874549865722,136.2072613109233,118.37022968639116,-0.012263364631071583,0.024434982103996816,1,1,-0.012263364631071583,0.12426173754436998,0.12426173754436998
2019-10-06,MSFT,130.3339044250626,132.41100576420848,125.77387800683437,130.39999389648438,116299800,129.60588531494142,127.78322334289551,129.55747653672705,126.59545004664305,4.607217345603431,5.335181950038528,57.07586306956451,127.78322334289551,136.2019852755617,119.36446141022934,0.002831573369081797,0.02438957874154314,1,1,0.002831573369081797,0.12744516714027831,0.12744516714027831
2019-10-13,MSFT,129.47480352770077,133.14736781070172,128.0397363674609,131.87281799316406,103704700,129.91124267578124,128.43744201660155,129.9784477106247,127.09805651774029,4.487505128482624,5.165646585727348,61.41789101713996,128.43744201660155,135.89140699650576,120.98347703669734,0.011294663846755038,0.024035499500254985,0,1,0.011294663846755038,0.14017928130877633,0.14017928130877633
2019-10-20,MSFT,131.8822506390827,133.8648557060827,128.92717902000976,129.72967529296875,107485700,129.9260696411133,129.1049476623535,129.93321636195998,127.34868687728586,4.171610895355499,4.966839447652978,52.50111803286183,129.1049476623535,133.9452108314802,124.26468449322681,-0.016251587952768265,0.02382402720930529,1,1,-0.016251587952768265,0.12164955743666273,0.12164955743666273
2019-10-27,MSFT,130.71157415657927,133.2511923514394,128.03031527485095,132.86410522460938,140342800,130.36035614013673,129.56595916748046,130.46610524607806,127.87396481512619,4.1266156828043705,4.798794694683257,61.84832404263658,129.56595916748046,133.95112605444126,125.18079228051965,0.02416124086152327,0.020307487092326472,1,1,0.02416124086152327,0.14875000255611082,0.14875000255611082
2019-11-03,MSFT,136.32897634868806,137.52799566822608,134.6768092915584,135.68699645996094,132099700,131.3356201171875,130.11871452331542,131.41535819405675,128.6180630670152,4.269523968864377,4.692940549519481,68.32557412372026,130.11871452331542,134.66907145121158,125.56835759541927,0.021246455019430677,0.02066471337541147,1,1,0.021246455019430677,0.1731568678139901,0.1731568678139901
2019-11-10,MSFT,136.73496026713525,137.83011037203946,135.1960330111829,137.80178833007812,86257400,132.1003402709961,130.56454887390137,132.57652730969698,129.49270356825932,4.501534952210065,4.654659430057598,72.37912697132793,130.56454887390137,136.21925832301355,124.9098394247892,0.015585810912552844,0.019655064198503484,1,1,0.015585810912552844,0.1914414689265016,0.1914414689265016
2019-11-17,MSFT,137.21643909236604,141.60657842964295,136.64053353501333,141.5876922607422,93138900,133.1265838623047,131.34129486083984,134.21492093715975,130.64460725325767,4.934019825913225,4.710531509228724,78.15406774087063,131.34129486083984,138.4638555733845,124.21873414829518,0.027473547161780187,0.019385643865595777,1,0,0.0,0.1914414689265016,0.22417459231355452
2019-11-24,MSFT,141.6821437198298,142.89358425753426,140.63897502835712,141.70945739746094,105644400,134.3330551147461,131.97827758789063,135.5775639299418,131.69840250508656,5.226346563214776,4.813694520025934,78.32226745937722,131.97827758789063,140.37290642092702,123.58364875485425,0.0008599980321348788,0.018985169738425182,1,0,0.0,0.1914414689265016,0.22522738005393372
2019-12-01,MSFT,142.09786309345495,144.466134245281,142.02207583187874,143.40516662597656,74202700,135.50894927978516,132.61347579956055,137.0007644201299,132.8133324213618,5.5310882296065245,4.957173261942053,80.70891196351849,132.61347579956055,142.4071886548161,122.819762944305,0.011966097814908538,0.0189534379765269,1,0,0.0,0.1914414689265016,0.23988857072916314
2019-12-08,MSFT,143.81249022948293,143.86933466734416,138.92437154168877,143.7556610107422,103331700,136.88133544921874,133.37347030639648,138.22892743660486,133.85545895368375,5.7347732669647655,5.112693262946596,81.20248553400437,133.37347030639648,144.15099412699863,122.59594648579434,0.002444084777501576,0.01829928025684483,1,1,0.002444084777501576,0.19435345288398898,0.24291896351068054
2019-12-15,MSFT,143.11152949856773,146.73024135551842,142.4104903709191,146.3892059326172,100477600,138.48025665283203,134.0430709838867,139.71261443587983,135.0491491421536,6.039085375278603,5.297971685412998,84.61516557800867,134.0430709838867,146.28653825218777,121.79960371558565,0.018319591057205153,0.017287448633099226,1,0,0.0,0.19435345288398898,0.26568873063944154
2019-12-22,MSFT,146.93864510364466,150.1406450579801,145.65034313899864,149.11753845214844,152135400,140.20472869873046,135.05798568725587,141.42260062065594,136.38899574310548,6.426329816395594,5.523643311609517,87.3586010937112,135.05798568725587,148.75690611397874,121.35906526053297,0.01863752523384199,0.015248784605197655,1,0,0.0,0.19435345288398898,0.28927803629492366
2019-12-29,MSFT,149.79012707828537,151.1447454147721,148.84273813245767,150.58583068847656,59640800,142.29034423828125,136.10820693969725,143.08864245116877,137.74107526171224,6.773620655879313,5.773638780463477,88.61883656579744,136.10820693969725,151.19007996910088,121.02633391029363,0.009846542878652054,0.015253264008723661,0,0,0.0,0.19435345288398898,0.30197296776180593
2020-01-05,MSFT,150.6142958109539,152.26260717686054,148.20807823448885,150.2637176513672,78456100,144.03030548095703,137.19533081054686,144.39320157847754,138.9337078702508,6.9428267333591975,6.007476371042621,86.43759901504616,137.19533081054686,153.0872579260792,121.30340369501452,-0.0021390660438413978,0.014980601963312256,1,0,-0.0,0.19435345288398898,0.2991879615964672
2020-01-12,MSFT,148.8048610818125,154.62146487473208,148.26488234672686,152.8404998779297,112305200,145.74565582275392,138.5406379699707,145.92907399655974,140.2581642519345,7.201830342240328,6.246347165282163,88.94843349205053,138.5406379699707,154.96522256164283,122.11605337829857,0.01714839927320977,0.013554151460970216,1,0,0.0,0.19435345288398898,0.32146695549287085
2020-01-19,MSFT,153.23836952210237,158.6475004445923,152.76470985739576,158.2969970703125,124758900,147.79517669677733,139.94775848388673,148.17778728269658,141.97614832987526,7.757957386286108,6.548669209482952,92.3905136062382,139.94775848388673,158.08049281493064,121.81502415284282,0.035700597660572875,0.013762823789750373,0,0,0.0,0.19435345288398898,0.3686441155926641
2020-01-26,MSFT,157.89913292781256,159.32959395002115,155.78660528365143,156.34552001953125,98254900,149.27095947265624,141.19877166748046,149.6628295984847,143.3446599193663,7.949586304079759,6.828852628402314,81.86823108177641,141.19877166748046,160.25558212906222,122.1419612058987,-0.012327947383072857,0.014636800618115614,1,0,-0.0,0.19435345288398898,0.3517715429494854
2020-02-02,MSFT,152.66046656819069,164.88087936173753,151.76051631780365,161.26211547851562,179472700,151.22622528076172,142.7796401977539,151.77179066758123,145.0510842583329,8.40133638963107,7.143349380648066,86.37814119070815,142.7796401977539,163.0103044796604,122.54897591584742,0.03144698651019984,0.0145346783807819,1,0,0.0,0.19435345288398898,0.39428068442549
